Last Name                    First Name          
Adolph                       Gottlieb            
Adolph                       Green               
Adolph                       Ioffe               
Adolph                       Ochs                
Adolph                       Sutro               
Adolph                       Zukor               
Adolphus                     Solomons            
Adrian                       Belew               
Adrian                       Fenty               
Adrian                       Jackson             
Adrian                       Lambert             
Adrian                       Lamo                
Adrian                       Pucey               
Adrian                       Smith               
Adriana                      Lima                
Adriane                      Pieczonka           
Adrien                       Brody               
Adrienne                     Rich                
Aemilia                      Lanyer              
Agatha                       Christie            
Agnetha                      Fältskog            
Agostino                     Marangolo           
Agustín                      Barrios             
Ahad                         Ha'am               
Aharon                       Kotler              
Aharon                       Lichtenstein        
Ahmad                        Suradji             
Ahsoka                       Tano                
Aileen                       Wuornos             
Aimee                        Mann                
Aki                          Kaurismaki          
Akiba                        Eger                
Akiba                        Rubinstein          
Akira                        Fudo/Devilman       
Akira                        Kongou              
Akira                        Kurosawa            
Akira                        Takasaki            
Akira                        Tana                
Al                           Alvarez             
Al                           Casey               
Al                           Cisneros            
Al                           Davis               
Al                           Di                  
Al                           Franken             
Al                           Green               
Al                           Gross               
Al                           Hibbler             
Al                           Hirschfeld          
Al                           Jardine             
Al                           Jolson              
Al                           Kasha               
Al                           Kooper              
Al                           Lewis               
Al                           McKay               
Al                           Michaels            
Al                           Neiman              
Al                           Pacino              
Al                           Pitrelli            
Al                           Rosen               
Al                           Schnier             
Al                           Stewart             
Al                           Waxman              
Alain                        Caron               
Alain                        Chabat              
Alain                        Johannes            
Alain                        Resnais             
Alain                        Rieder              
Alan                         Arkin               
Alan                         Autry               
Alan                         Berg                
Alan                         Bergman             
Alan                         Brinkley            
Alan                         Colmes              
Alan                         Davey               
Alan                         Dershowitz          
Alan                         Emslie              
Alan                         Feinberg            
Alan                         Freed               
Alan                         Gelfand             
Alan                         Greenspan           
Alan                         Guth                
Alan                         Heeger              
Alan                         J.                  
Alan                         J.                  
Alan                         Jackson             
Alan                         Jackson             
Alan                         Jay                 
Alan                         Keyes               
Alan                         King                
Alan                         Lancaster           
Alan                         Longmuir            
Alan                         Menken              
Alan                         Miller              
Alan                         Moore               
Alan                         Oppenheimer         
Alan                         Paul                
Alan                         Price               
Alan                         Rickman             
Alan                         Scott               
Alan                         Sherman             
Alan                         Sokal               
Alan                         Turing              
Alan                         White               
Alan                         Wilson              
Alanis                       Morissette          
Albe                         Bonacci             
Albert                       Abraham             
Albert                       Axelrod             
Albert                       Bernstein           
Albert                       Brooks              
Albert                       Collins             
Albert                       De                  
Albert                       Einstein            
Albert                       Fish:               
Albert                       Goldbarth           
Albert                       Hammond             
Albert                       Kahn                
Albert                       King                
Albert                       Lasker              
Albert                       Lee                 
Albert                       Libchaber           
Albert                       Michelson           
Albert                       Pujols              
Albert                       S.                  
Albert                       Sabin               
Albert                       Schatz              
Albert                       Von                 
Alberto                      Moravia             
Alberto                      Ponce               
Albus                        Dumbledore          
Aldo                         Romano              
Alec                         Baillie             
Alec                         Baldwin             
Alec                         Templeton           
Alejandro                    Jodorowsky          
Aleksander                   Sergeyevich         
Alessandra                   Belloni             
Alessandra                   Gambini             
Alessandro                   Casci               
Alessandro                   Del                 
Alessandro                   Fabbri              
Alessandro                   Nesta               
Alessandro                   Vanzini             
Alessia                      Mattalia            
Alex                         Acuña               
Alex                         Band                
Alex                         Barberis            
Alex                         Borstein            
Alex                         Chiu                
Alex                         Greenwald           
Alice                        in                  
Alex                         Haley               
Alex                         James               
Alex                         Kapranos            
Alex                         Lifeson             
Alex                         Moore               
Alex                         North               
Alex                         Pertout             
Alex                         Pinelli             
Alex                         Poletti             
Alex                         Riel                
Alex                         Sanguinetti         
Alex                         Skolnick            
Alex                         Sonchez             
Alex                         Turner              
Alex                         Webster             
Alex                         Winter              
Alexander                    Anderson            
Alexander                    Belyavsky           
Alexander                    Dumas               
Alexander                    Fleming             
Alexander                    Graham              
Alexander                    Harkavy             
Alexander                    Julian              
Alexander                    Kent                
Alexander                    Khalifman           
Alexander                    Kutikov             
Alexander                    Luria               
Alexander                    Mutnick             
Alexander                    Nikolayevich        
Alexander                    Shulgin             
Alexander                    Sokurov             
Alexandra                    Gherard             
Alexandrina                  Pendatchanska       
Alexei                       Alexeevich          
Alexei                       Sayle               
Alexi                        Laiho               
Alfred                       Adler               
Alfred                       Dreyfus             
Alfred                       E.                  
Alfred                       Eisenstaedt         
Alfred                       G.                  
Alfred                       Hajos               
Alfred                       Hitchcock           
Alfred                       Kazin               
Alfred                       Knopf               
Alfred                       Lion                
Alfred                       Lowenstein          
Alfred                       Mordechai           
Alfred                       Newman              
Alfred                       Nobel               
Alfred                       Schnittke           
Alfred                       Schutz              
Alfred                       Stieglitz           
Alfred                       Tarski              
Alfred                       Taubman             
Alfred                       Tennyson            
Alfred                       Uhry                
Alguff                       the                 
Ali                          Landry              
Ali                          MacGraw             
Ali                          McMordie            
Alice                        B.                  
Alice                        Braga               
Alice                        Cooper              
Alice                        Longbottom          
Alice                        Miller              
Alice                        Nelson              
Alicia                       Keys                
Alicia                       Ostriker            
Alicia                       Silverstone         
Alicia                       Spinnet             
Alicia                       Warrington          
Alison                       Krauss              
Alistair                     Maclean             
Alix                         Dobkin              
All                          the                 
Alla                         Nazimova            
Allan                        Arbus               
Allan                        Arkush              
Allan                        Clarke              
Allan                        Holdsworth          
Allan                        Sherman             
Allan                        Stewart             
Allan                        Zavod               
Allard                       K.                  
Allen                        Arbus               
Allen                        Collins             
Allen                        Covert              
Allen                        Funt                
Allen                        Garfield            
Allen                        Ginsberg            
Allen                        Iverson             
Allen                        Klein               
Allen                        Lanier              
Allen                        McKenzie            
Allen                        Ravenstine          
Allie                        DiMeco              
Allison                      Crowe               
Allison                      Gopnik              
Allison                      Miller              
Allison                      Robertson           
Ally                         McBeal              
Ally                         Sheedy              
Allyson                      Schwartz            
Alonso                       Mudarra             
Alora                        Lanzillotta         
Alphonse                     Elric               
Alphonse                     Lazard              
Alphonse                     Mouzon              
Alphonso                     Johnson             
Alter                        Esselin             
Althea                       Gibson              
Alvaro                       Jardón              
Alvin                        Lee                 
Alvin                        Queen               
Alvy                         Moore               
Alyson                       Hannigan            
Alyson                       Michalka            
Alyson                       Stoner              
Alyssa                       Barlow              
Alyssa                       Milano              
Amanda                       Bynes               
Amanda                       Congdon             
Amanda                       Marshall            
Amanda                       Michalka            
Amanda                       Peet                
Amanda                       Woodward            
Amber                        Benson              
Ambrosius                    Flume               
Amedeo                       Modigliani          
Amelia                       Earhart             
Amelia                       Susan               
Aminoss                                          
Amir                         Derakh              
Amira                        Hass                
Amitabh                      Bachchan            
Amitai                       Etzioni             
Amos                         Diggory             
Amos                         Gitai               
Amos                         Milburn             
Amos                         Tversky             
Amram                        Gaon                
Amy                          Acuff               
Amy                          Alcott              
Amy                          Carmichael          
Amy                          Dumas               
Amy                          Goodman             
Amy                          Grant               
Amy                          Heckerling          
Amy                          Irving              
Amy                          Levy                
Amy                          Millan              
Amy                          Pascal              
Amy                          Weber               
Amy                          Weisberger          
Amy                          Winehouse           
Anakin                       Solo                
Anan                         ben                 
Anatol                       Rapoport            
Anatole                      Litvak              
Anatoly                      Onoprienko          
Anders                       Iwers               
Andras                       Csaki               
Andre                        Agassi              
Andre                        Citroen             
André                        Cymone              
André                        De                  
Andre                        Gregory             
Andre                        Kertesz             
Andre                        Lwoff               
Andre                        Previn              
Andre                        the                 
Andre                        Ward                
Andre                        Weil                
Andrea                       Bocelli             
Andrea                       Centazzo            
Andrea                       Dworkin             
Andrea                       Marcelli            
Andrea                       Mazzanti            
Andreas                      Paolo               
Andreas                      Wallan              
Andrei                       Chikatilo           
Andrei                       Codrescu            
Andrei                       Krylov              
Andrei                       Lilienthal          
Andrei                       Shleifer            
Andrei                       Tarkovsky           
Andrej                       Romanowitsch        
Andrés                       Bretel              
Andrés                       Segovia             
Andrew                       Beacock             
Andrew                       Bergman             
Andrew                       Card                
Andrew                       Carnegie            
Andrew                       Cheshire            
Andrew                       Cyrille             
Andrew                       Farriss             
Andrew                       Fastow              
Andrew                       Goodman             
Andrew                       Grove               
Andrew                       Hewitt              
Andrew                       Kirke               
Andrew                       Lamarche            
Andrew                       Latimer             
Andrew                       Meltzoff            
Andrew                       Murray              
Andrew                       Sachs               
Andrew                       Shives              
Andrew                       Shue                
Andrew                       Stockdale           
Andrew                       Strominger          
Andrew                       V.                  
Andrew                       Vajna               
Andrew                       Viterbi             
Andrew                       Weiss               
Andrew                       White               
Andrew                       Young               
Android                      18                  
Andromeda                    Blackv              
Andros                       the                 
Andy                         Bell                
Andy                         Cousin              
Andy                         Dunlop              
Andy                         Edwards             
Andy                         Fraser              
Andy                         Garcia              
Andy                         Gibb                
Andy                         Griffith            
Andy                         Grove               
Andy                         Hertzfeld           
Andy                         Huxley              
Andy                         James               
Andy                         Kaufman             
Andy                         Kent                
Andy                         Kim                 
Andy                         Kulberg             
Andy                         McCluskey           
Andy                         Montanez            
Andy                         Moore               
Andy                         Pettitte            
Andy                         Rooney              
Andy                         Rourke              
Andy                         Shernoff            
Andy                         Summers             
Andy                         Taylor              
Andy                         Timmons             
Andy                         Vellacott           
Andy                         Warhol              
Andy                         Warren              
Angel                        Ibarra              
Angel                        Manfredy            
Angel                        Resendez            
Angela                       Merkel              
Angelica                     Pickles             
Angelika                     Kirchschlager       
Angelina                     Johnson             
Angelina                     Jolie               
Angelyne                                         
Angus                        Clark               
Angus                        Young               
Ani                          DiFranco            
Anja                         Harteros            
Ann                          Landers             
Anna                         Benson              
Anna                         Chlumsky            
Anna                         Freud               
Anna                         Halprin             
Anna                         Held                
Anna                         Kournikova          
Anna                         Nicole              
Anna                         Popplewell          
Anna                         Quindlen            
Anna                         Seghers             
Anna                         Smashnova           
Anna                         Sokalaw             
Anna                         Sokolow             
Anne                         B.                  
Anne                         Bancroft            
Anne                         Frank               
Anne                         Meara               
Anne                         Murray              
Anne                         Roiphe              
Anne                         Schwanewilms        
Annette                      Strauss             
Annie                        Clark               
Annie                        Duke                
Annie                        Holland             
Annie                        Leibovitz           
Annie                        Sprinkle            
Annie                        Wilkes              
Anni-Frid                    Lyngstad            
Anouk                        Aimee               
Antal                        Dorati              
Anthony                      Beilenson           
Anthony                      Cerabino            
Anthony                      Ervin               
Anthony                      Field               
Anthony                      Hecht               
Anthony                      Hopkins             
Anthony                      Jackson             
Anthony                      Kledis              
Anthony                      Mann                
Anthony                      Michelli            
Anthony                      Newley              
Anthony                      Ocaña               
Anthony                      Phillips            
Anthony                      Sher                
Anthony                      Weiner              
Anton                        Bruckner            
Anton                        Chekhov             
Anton                        LaVey               
Anton                        Rubinstein          
Anton                        Walbrook            
Anton                        Webern              
Antonelli                    Dominic             
Antoni                       Slonimski           
Antonin                      Dvorak              
Antonio                      Banderas            
Antonio                      Carlos              
António                      Chainho             
Antonio                      Di                  
Antonio                      Gentile             
Antonio                      Lauro               
Antonio                      Thomas              
Antonio                      Villaraigosa        
Antonio                      Vivaldi             
Antony                       Genn                
Antony                       Hopkins             
Antony                       Wolfe               
Apache                       Chief               
Apichatpong                  Weerasethakul       
Apolo                        Anton               
Arabella                     Figg                
Araki                        Mataemon            
Aram                         Bedrosian           
Archangelo                   Corelli             
Archibald                    Alphonso            
Archie                       Andrews             
Aretha                       Franklin            
Argus                        Filch               
Ari                          Fleischer           
Arie                         Eldad               
Ariel                        Durant              
Ariel                        Sharon              
Arielle                      Dombasle            
Arion                        Salazar             
Aristotle                                        
Arkady                       Strugatsky          
Arlen                        Specter             
Arlo                         Guthrie             
Armand                       Hammer              
Armando                      Alejandro           
Armin                        Shimerman           
Arne                         Duncan              
Arne                         Jacobsoen           
Arnie                        Kantrowitz          
Arno                         Allan               
Arno                         Penzias             
Arnold                       Brunner             
Arnold                       Denker              
Arnold                       Marinissen          
Arnold                       Newman              
Arnold                       Palmer              
Arnold                       'Red'               
Arnold                       Rosner              
Arnold                       Rothstein           
Arnold                       Schoenberg          
Arnold                       Schwarzenegger      
Arnolt                       Schlick             
Aron                         Nimzowitsch         
Art                          Alexakis            
Art                          Blakey              
Art                          Garfunkel           
Art                          Heyman              
Art                          Modell              
Art                          Neville             
Art                          Rupe                
Art                          Spiegelman          
Art                          Tatum               
Art                          Verdi               
Arthur                       Ashe                
Arthur                       Barrow              
Arthur                       Berger              
Arthur                       Bisguier            
Arthur                       Blank               
Arthur                       C.                  
Arthur                       Chaskalson          
Arthur                       Danto               
Arthur                       DeMoss              
Arthur                       Fiedler             
Arthur                       Hailey              
Arthur                       Hayes               
Arthur                       Hiller              
Arthur                       Hull                
Arthur                       J.                  
Arthur                       Kane                
Arthur                       Koestler            
Arthur                       Kopit               
Arthur                       Korn                
Arthur                       Kornberg            
Arthur                       Laurents            
Arthur                       Miller              
Arthur                       Murray              
Arthur                       Rock                
Arthur                       Rothstein           
Arthur                       Rubinstein          
Arthur                       Schwartz            
Arthur                       Seligman            
Arthur                       Spingarn            
Arthur                       Sulzberger          
Arthur                       Szyk                
Arthur                       Weasley             
Arthur                       Zimmermann          
Artie                        Shaw                
Artur                        Schnabel            
Arye                         Gross               
Aryeh                        Kaplan              
Aryeh                        Neier               
Asajj                        Ventress            
Asamoah                      Gyan                
Ash                          Soan                
Asher                        ben                 
Ashitaka                                         
Ashlee                       Simpson             
Ashley                       Montagu             
Ashley                       Tisdale             
Ashton                       Kutcher             
Aston                        Barrett             
Astral                       Projection          
Asuka                        Langley             
Ato                          Egoyan              
Atom                         Ant                 
Atom                         Ellis               
Audrey                       Hepburn             
August                       Belmont             
Augusta                      Longbottom          
Auguste                      Lumiere             
Augustus                                         
Aunt                         May                 
Aurra                        Sing                
Austen                       O'Brian             
Austin                       Peck                
Austin                       Powers              
Ava                          Gardner             
Avery                        Johnson             
Avi                          Wigderson           
Aviva                        Kempner             
Avraham                      B.                  
Avraham                      Itzjak              
Avraham                      Marcus              
Avraham                      Stern               
Avram                        Goldstein           
Avril                        Lavigne             
Avshalom                                         
Avtalyon                                         
Axl                          Rose                
Ayatollah                    Khomeini            
Ayeka                        Masaki              
Ayn                          Rand                
Aynsley                      Dunbar              
Ayre                         Gross               
Ayub                         Bachchu             
Azharlevi                    Sianturi            
Azim                         Premji              
Azriel                       Hildesheimer        
Azriel                       Rosenfeld           
B                            la                  
B.B.                         King                
Babatunde                    Olatunji            
Babbie                       Mason               
Babe                         Ruth                
Babydaddy                                        
Bahya                        ibn                 
Bail                         Organa              
Bailey                       Gatzert             
Bakithi                      Kumalo              
Balsac                       the                 
Bam                          Margera             
Bamm-Bamm                                        
Barabara                     Stanwyck            
Barack                       Obama               
Barbara                      Bach                
Barbara                      Bain                
Barbara                      Barrie              
Barbara                      Boxer               
Barbara                      Cartland            
Barbara                      Ehrenreich          
Barbara                      Fairchild           
Barbara                      Gordon              
Barbara                      Hershey             
Barbara                      Mandrell            
Barbara                      Pewterschmidt       
Barbara                      Streisand           
Barbara                      Tuchman             
Barbara                      Tversky             
Barbara                      Walters             
Barbecue                     Bob                 
Barbi                        Benton              
Barney                       Dreyfuss            
Barney                       Frank               
Barney                       Gumble              
Barney                       Kessel              
Barney                       Ross                
Barney                       Rossett             
Barney                       Rubble              
Barney                       Sedran              
Barney                       Stinson             
Barny                        the                 
Baron                        Browne              
Barriss                      Offee               
Barry                        Adamson             
Barry                        Allen               
Barry                        Bangemout           
Barry                        Bonds               
Barry                        Cohen               
Barry                        Diller              
Barry                        Gibb                
Barry                        Goldwater           
Barry                        Gordon              
Barry                        Greenstein          
Barry                        Levinson            
Barry                        Manilow             
Barry                        Mann                
Barry                        Mazur               
Barry                        Melton              
Barry                        Miller              
Barry                        Newman              
Barry                        Scheck              
Barry                        Sonnenfeld          
Barry                        Sparks              
Barry                        White               
Bart                         Berman              
Bart                         Elliott             
Bart                         Simpson             
Bart                         Simpson             
Bartemius                    Crouch              
Bartemius                    Crouch              
Baruch                       Blumberg            
Baruch                       de                  
Baruch                       Epstein             
Baruch                       Goldstein           
Baruch                       Kimmerling          
Baruch                       Spinoza             
Baruj                        Benacerraf          
Bashiri                      Johnson             
Bastila                      Shan                
Bathsheba                                        
Batistuta                                        
Battling                     Levinsky            
Bayard                       Taylor              
Bea                          Arthur              
Beastie                      Boys                
Beatrice                     Alexander           
Beatrix                      Potter              
Bebe                         Neuwirth            
BeBe                         Winans              
Beck                         Hansen              
Bedrick                      Smetana             
Beethoven                                        
Beetle                       Baily               
Behnken                      Robert              
Béla                         Bartók              
Bela                         Fleck               
Bela                         Kun                 
Bela                         Schick              
Belatrix                     Black               
Belinda                                          
Bella                        Abzug               
Bella                        Swan                
Bellatrix                    Lestrange           
Belle                        Gunness             
Ben                          Affleck             
Ben                          Bernanke            
Ben                          Campbell            
Ben                          Cardin              
Ben                          Cohen               
Ben                          Davidson            
Ben                          Dreyfuss            
Ben                          Dunkelman           
Ben                          E                   
Ben                          Folds               
Ben                          Folds               
Ben                          Folds               
Ben                          Foster              
Ben                          Franklin            
Ben                          Gibbard             
Ben                          Hecht               
Ben                          Heppner             
Ben                          Kasica              
Ben                          Katchor             
Ben                          Kenney              
Ben                          King                
Ben                          Kingsley            
Ben                          Kinshlo             
Ben                          Kweller             
Ben                          L.                  
Ben                          Mink                
Ben                          Moreel              
Ben                          Perowsky            
Ben                          Roethlisberger      
Ben                          Rosen               
Ben                          Roy                 
Ben                          Savage              
Ben                          Shahn               
Ben                          Shepherd            
Ben                          Sidran              
Ben                          Sira                
Ben                          Skywalker           
Ben                          Stein               
Ben                          Stiller             
Ben                          Vereen              
Benazir                      Bhutto              
Benicio                      Del                 
Benjamin                     A.                  
Benjamin                     Britten             
Benjamin                     'Bugsy'             
Benjamin                     Disraeli            
Benjamin                     F.                  
Benjamin                     Frankel             
Benjamin                     Franklin            
Benjamin                     L.                  
Benjamin                     Lees                
Benjamin                     Masten              
Benjamin                     N.                  
Benjamin                     Netanyahu           
Benjamin                     Oliver              
Benjamin                     Orr                 
Benmont                      Tench               
Bennett                      Cerf                
Bennie                       Smith               
Benny                        Andersson           
Benny                        Bass                
